Pop.Size,Generations,Threads,Max Weight,Seq.Time (s),Island.Time (s),MS.Time (s),Seq Value,Seq Weight,Island Value,Island Weight,MS Value,MS Weight,Island Speedup,MS Speedup,Island Eff.,MS Eff.
100,200,4,400,10.62,4.72,12.51,3229,391,3398,396,3189,394,2.25,0.85,0.19,0.07
100,200,8,400,10.62,4.08,12.28,3229,391,3553,399,3207,388,2.6,0.86,0.22,0.07
100,200,12,400,10.62,3.55,10.81,3229,391,3539,392,3220,379,2.99,0.98,0.25,0.08
200,200,4,400,20.48,9.34,18.9,3186,394,3449,392,3236,399,2.19,1.08,0.18,0.09
200,200,8,400,20.48,5.47,17.8,3186,394,3544,395,3263,387,3.74,1.15,0.31,0.1
200,200,12,400,20.48,4.45,17.93,3186,394,3472,393,3198,398,4.6,1.14,0.38,0.1
300,200,4,400,30.12,12.96,25.31,3248,397,3394,397,3296,398,2.32,1.19,0.19,0.1
300,200,8,400,30.12,6.33,24.51,3248,397,3472,397,3252,381,4.76,1.23,0.4,0.1
300,200,12,400,30.12,6.13,24.45,3248,397,3518,399,3206,395,4.92,1.23,0.41,0.1
400,200,4,400,40.03,16.2,31.04,3176,389,3377,400,3200,392,2.47,1.29,0.21,0.11
400,200,8,400,40.03,12.35,33.56,3176,389,3444,394,3270,400,3.24,1.19,0.27,0.1
400,200,12,400,40.03,10.66,34.45,3176,389,3459,386,3301,376,3.76,1.16,0.31,0.1
500,200,4,400,52.66,20.93,38.28,3324,392,3354,394,3242,389,2.52,1.38,0.21,0.11
500,200,8,400,52.66,13.23,37.28,3324,392,3405,398,3221,387,3.98,1.41,0.33,0.12
500,200,12,400,52.66,10.77,44.51,3324,392,3438,399,3229,398,4.89,1.18,0.41,0.1
