Pop.Size,Generations,Threads,Max Weight,Seq.Time (s),Island.Time (s),MS.Time (s),Seq Value,Island Value,MS Value,Island Speedup,MS Speedup,Island Eff.,MS Eff.
100,100,4,400,4.98,2.69,6.04,3241.7,3377.7,3277.3,1.85,0.82,0.15,0.07
100,100,8,400,4.99,2.37,6.32,3206.0,3332.0,3264.7,2.11,0.79,0.18,0.07
100,100,12,400,4.95,2.6,6.3,3239.0,3401.7,3197.3,1.9,0.79,0.16,0.07
100,200,4,400,9.9,4.36,10.79,3364.0,3480.7,3275.3,2.27,0.92,0.19,0.08
100,200,8,400,9.97,3.34,10.85,3299.7,3481.3,3268.7,2.99,0.92,0.25,0.08
100,200,12,400,9.94,3.43,10.9,3280.0,3509.7,3288.7,2.9,0.91,0.24,0.08
100,300,4,400,14.93,6.17,15.27,3373.7,3465.7,3360.7,2.42,0.98,0.2,0.08
100,300,8,400,14.78,3.84,15.04,3307.0,3516.0,3337.0,3.85,0.98,0.32,0.08
100,300,12,400,14.73,3.66,14.85,3280.0,3508.0,3305.7,4.03,0.99,0.34,0.08
200,100,4,400,9.88,5.69,9.5,3274.0,3313.3,3195.0,1.74,1.04,0.14,0.09
200,100,8,400,9.92,3.08,9.46,3177.7,3366.0,3173.3,3.22,1.05,0.27,0.09
200,100,12,400,9.99,3.26,9.42,3197.7,3420.0,3191.3,3.06,1.06,0.26,0.09
200,200,4,400,19.8,9.11,17.41,3245.3,3475.7,3290.7,2.17,1.14,0.18,0.09
200,200,8,400,20.08,4.94,17.96,3274.3,3418.0,3252.0,4.07,1.12,0.34,0.09
200,200,12,400,19.95,4.65,18.0,3328.7,3502.3,3237.7,4.29,1.11,0.36,0.09
200,300,4,400,30.23,12.74,26.06,3262.3,3372.7,3275.3,2.37,1.16,0.2,0.1
200,300,8,400,29.86,6.6,25.72,3338.7,3574.0,3361.0,4.52,1.16,0.38,0.1
200,300,12,400,29.92,5.92,25.9,3241.0,3573.7,3312.0,5.06,1.16,0.42,0.1
300,100,4,400,15.17,7.73,13.16,3178.7,3366.3,3224.7,1.96,1.15,0.16,0.1
300,100,8,400,15.08,4.13,12.94,3199.7,3424.3,3185.3,3.65,1.16,0.3,0.1
300,100,12,400,15.07,4.03,13.05,3263.0,3447.3,3182.7,3.74,1.15,0.31,0.1
300,200,4,400,30.15,12.57,24.49,3257.3,3381.7,3270.7,2.4,1.23,0.2,0.1
300,200,8,400,30.41,6.88,25.03,3255.3,3525.3,3254.0,4.42,1.21,0.37,0.1
300,200,12,400,30.16,5.98,24.77,3308.3,3489.3,3260.3,5.04,1.22,0.42,0.1
300,300,4,400,45.03,17.87,36.39,3280.0,3410.7,3256.3,2.52,1.24,0.21,0.1
300,300,8,400,44.79,9.18,36.38,3287.3,3522.7,3277.7,4.88,1.23,0.41,0.1
300,300,12,400,45.08,8.2,36.32,3338.0,3529.7,3304.0,5.5,1.24,0.46,0.1
400,100,4,400,19.96,9.3,16.41,3187.3,3322.3,3127.0,2.15,1.22,0.18,0.1
400,100,8,400,19.95,8.38,16.22,3244.0,3370.7,3212.7,2.38,1.23,0.2,0.1
400,100,12,400,19.92,4.54,16.09,3220.0,3384.0,3311.0,4.38,1.24,0.37,0.1
400,200,4,400,39.49,15.82,30.53,3180.3,3385.7,3251.3,2.5,1.29,0.21,0.11
400,200,8,400,39.7,12.95,32.14,3212.0,3464.7,3279.0,3.06,1.24,0.26,0.1
400,200,12,400,39.95,7.0,30.96,3297.3,3496.3,3242.7,5.7,1.29,0.48,0.11
400,300,4,400,60.94,23.41,48.58,3330.0,3425.0,3280.3,2.6,1.25,0.22,0.1
400,300,8,400,62.19,15.19,46.51,3319.3,3547.3,3312.7,4.09,1.34,0.34,0.11
400,300,12,400,59.97,10.0,46.09,3280.0,3583.0,3282.3,6.0,1.3,0.5,0.11
500,100,4,400,25.2,11.04,19.82,3201.0,3265.7,3233.3,2.28,1.27,0.19,0.11
500,100,8,400,25.19,9.28,19.71,3207.7,3396.0,3248.3,2.71,1.28,0.23,0.11
500,100,12,400,25.2,5.58,19.93,3187.0,3396.3,3237.7,4.52,1.26,0.38,0.11
500,200,4,400,50.15,19.48,38.34,3291.7,3386.7,3252.0,2.57,1.31,0.21,0.11
500,200,8,400,49.68,13.52,37.67,3253.7,3410.7,3256.3,3.67,1.32,0.31,0.11
500,200,12,400,50.06,8.37,37.85,3285.7,3517.3,3274.3,5.98,1.32,0.5,0.11
500,300,4,400,74.12,27.59,55.54,3287.0,3430.0,3321.0,2.69,1.33,0.22,0.11
500,300,8,400,75.02,18.38,56.29,3206.0,3442.7,3221.3,4.08,1.33,0.34,0.11
500,300,12,400,75.24,12.39,56.01,3220.7,3548.0,3315.3,6.07,1.34,0.51,0.11
